genre,precision,recall,f1,accuracy
blues,0.75,0.75,0.75,0.75
classical,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9259259259259259
country,0.6153846153846154,0.6666666666666666,0.64,0.6666666666666666
disco,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
hiphop,0.6363636363636364,0.5,0.56,0.5
jazz,0.7741935483870968,0.8888888888888888,0.8275862068965517,0.8888888888888888
metal,0.6571428571428571,0.8846153846153846,0.7540983606557377,0.8846153846153846
pop,0.5641025641025641,0.8461538461538461,0.676923076923077,0.8461538461538461
reggae,0.625,0.38461538461538464,0.47619047619047616,0.38461538461538464
rock,0.5625,0.3333333333333333,0.4186046511627907,0.3333333333333333
