genre,precision,recall,f1,accuracy
blues,0.6571428571428571,0.8214285714285714,0.7301587301587301,0.8214285714285714
classical,0.7878787878787878,0.9629629629629629,0.8666666666666667,0.9629629629629629
country,0.75,0.625,0.6818181818181818,0.625
disco,0.5909090909090909,0.48148148148148145,0.5306122448979592,0.48148148148148145
hiphop,0.7272727272727273,0.5714285714285714,0.64,0.5714285714285714
jazz,0.95,0.7037037037037037,0.8085106382978723,0.7037037037037037
metal,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8461538461538461
pop,0.6666666666666666,0.8461538461538461,0.7457627118644068,0.8461538461538461
reggae,0.7222222222222222,0.5,0.5909090909090909,0.5
rock,0.45714285714285713,0.5925925925925926,0.5161290322580645,0.5925925925925926
