feature_idx,abs_weight,posterior_var,norm_importance
250,0.64864504,0.03281601,1.0
58,0.5362374,0.037853237,0.82670397
108,0.51195836,0.029345518,0.7892735
148,0.42196172,0.034279127,0.65052795
197,0.39345485,0.03515291,0.6065796
224,0.36329004,0.02528288,0.5600753
164,0.3549336,0.025809411,0.54719234
53,0.3414817,0.025557546,0.52645385
10,0.33965388,0.027882634,0.523636
169,0.33591253,0.025559377,0.51786804
106,0.33505842,0.028983694,0.51655126
97,0.33226228,0.03114194,0.5122405
228,0.32567918,0.029199367,0.5020915
245,0.32490832,0.033237007,0.5009031
200,0.32304218,0.026580855,0.49802613
5,0.3188593,0.029146474,0.4915775
229,0.31470814,0.01950284,0.48517776
137,0.31050485,0.026757201,0.47869766
105,0.30616668,0.032163326,0.4720096
134,0.30159992,0.027859518,0.46496913
62,0.30130678,0.03338986,0.4645172
24,0.2998058,0.026848782,0.46220317
6,0.29833135,0.036584843,0.45993006
167,0.2968229,0.026751403,0.45760453
194,0.29535523,0.032070126,0.45534185
