genre,precision,recall,f1,accuracy
blues,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8571428571428571
classical,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.8518518518518519
country,0.7142857142857143,0.625,0.6666666666666666,0.625
disco,0.5405405405405406,0.7407407407407407,0.625,0.7407407407407407
hiphop,0.75,0.6428571428571429,0.6923076923076923,0.6428571428571429
jazz,0.8387096774193549,0.9629629629629629,0.896551724137931,0.9629629629629629
metal,0.9130434782608695,0.8076923076923077,0.8571428571428571,0.8076923076923077
pop,0.9130434782608695,0.8076923076923077,0.8571428571428571,0.8076923076923077
reggae,0.7,0.5384615384615384,0.6086956521739131,0.5384615384615384
rock,0.5,0.6296296296296297,0.5573770491803278,0.6296296296296297
