genre,precision,recall,f1,accuracy
blues,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.6785714285714286
classical,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8888888888888888
country,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.6666666666666666
disco,0.4883720930232558,0.7777777777777778,0.6,0.7777777777777778
hiphop,0.875,0.5,0.6363636363636364,0.5
jazz,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.8148148148148148
metal,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.7692307692307693
pop,0.7241379310344828,0.8076923076923077,0.7636363636363637,0.8076923076923077
reggae,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5384615384615384
rock,0.5217391304347826,0.4444444444444444,0.48,0.4444444444444444
