feature_idx,abs_weight,posterior_var,norm_importance
475,0.95115745,0.10784853,1.0
413,0.8553786,0.100232445,0.8993029
378,0.7088009,0.105667025,0.7451983
319,0.6935846,0.101650745,0.72920066
49,0.66791797,0.09448368,0.70221597
278,0.6315688,0.09138838,0.6640003
197,0.60959464,0.100549944,0.64089775
233,0.6058839,0.09660381,0.63699645
85,0.6033312,0.09546136,0.6343126
315,0.59164786,0.09857719,0.62202936
248,0.57049316,0.086375594,0.59978837
457,0.56977195,0.101845965,0.5990301
157,0.5585265,0.09771472,0.5872072
302,0.55363846,0.09609894,0.58206815
450,0.5402297,0.103270724,0.5679708
111,0.53521216,0.097314484,0.5626956
365,0.53051543,0.09373213,0.55775774
275,0.5276838,0.09939671,0.5547807
388,0.51381636,0.10037071,0.5402012
15,0.5128128,0.09164714,0.53914607
90,0.49995884,0.10660228,0.525632
104,0.49708647,0.09969023,0.52261215
202,0.49675217,0.10182347,0.5222607
317,0.49654385,0.10048404,0.5220417
421,0.49625334,0.10639476,0.52173626
