genre,precision,recall,f1,accuracy
blues,0.5416666666666666,0.4642857142857143,0.5,0.4642857142857143
classical,0.9310344827586207,1.0,0.9642857142857143,1.0
country,0.5,0.5833333333333334,0.5384615384615384,0.5833333333333334
disco,0.5483870967741935,0.6296296296296297,0.5862068965517241,0.6296296296296297
hiphop,0.7619047619047619,0.5714285714285714,0.6530612244897959,0.5714285714285714
jazz,0.7666666666666667,0.8518518518518519,0.8070175438596491,0.8518518518518519
metal,0.7407407407407407,0.7692307692307693,0.7547169811320755,0.7692307692307693
pop,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.7692307692307693
reggae,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
rock,0.5,0.4074074074074074,0.4489795918367347,0.4074074074074074
