feature_idx,abs_weight,posterior_var,norm_importance
181,0.24508345,0.0077247904,1.0
364,0.23018123,0.008065669,0.93919533
187,0.21112512,0.011266618,0.8614418
184,0.20137793,0.011669359,0.82167083
100,0.18612537,0.009577169,0.7594367
55,0.17274243,0.009932502,0.70483106
143,0.16900939,0.010907942,0.68959934
131,0.16774276,0.010096794,0.6844312
333,0.16644064,0.008734724,0.6791182
164,0.16538131,0.009828073,0.6747959
163,0.15827239,0.0086089065,0.64578974
249,0.15720315,0.010721508,0.64142704
24,0.15560861,0.009501346,0.6349209
268,0.15202427,0.011291327,0.62029594
59,0.14950697,0.009727356,0.61002475
138,0.14347559,0.010107707,0.58541524
206,0.14299485,0.010713802,0.5834537
30,0.14256164,0.0090723615,0.58168614
345,0.14193465,0.010754249,0.57912785
332,0.1411015,0.008956144,0.57572836
177,0.13994738,0.009323215,0.5710193
8,0.13581687,0.011040585,0.55416584
53,0.13169596,0.0108622955,0.5373515
238,0.13162775,0.00907166,0.5370732
157,0.13127607,0.009466991,0.5356383
