feature_idx,abs_weight,posterior_var,norm_importance
249,1.3461332,0.19209068,1.0
130,1.3314322,0.31603864,0.98907906
303,1.2903574,0.24839793,0.95856583
120,1.1611716,0.23578298,0.86259776
379,1.1524776,0.23221715,0.85613936
170,1.0965502,0.23739175,0.81459266
139,1.085629,0.21283123,0.8064796
63,1.0729285,0.21079989,0.7970448
292,0.996524,0.24357484,0.7402863
348,0.91397804,0.26191124,0.6789655
67,0.89831287,0.23788191,0.66732836
232,0.8923911,0.20361069,0.66292924
233,0.88571715,0.22231524,0.6579714
263,0.8815186,0.24782741,0.6548524
280,0.86240685,0.23621815,0.6406549
319,0.85610336,0.24836266,0.63597226
133,0.8362283,0.2207049,0.6212077
69,0.81283617,0.209003,0.6038304
374,0.7972532,0.19377327,0.5922543
234,0.79286104,0.22327447,0.5889915
113,0.7916713,0.2756542,0.58810765
261,0.7883323,0.26169455,0.58562726
24,0.7701062,0.2403832,0.57208765
284,0.75555915,0.2206256,0.5612811
351,0.75305706,0.24191801,0.5594224
