genre,precision,recall,f1,accuracy
blues,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.6428571428571429
classical,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259
country,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
disco,0.5882352941176471,0.7407407407407407,0.6557377049180327,0.7407407407407407
hiphop,0.8823529411764706,0.5357142857142857,0.6666666666666666,0.5357142857142857
jazz,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259
metal,0.575,0.8846153846153846,0.696969696969697,0.8846153846153846
pop,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
reggae,0.6785714285714286,0.7307692307692307,0.7037037037037037,0.7307692307692307
rock,0.5,0.4074074074074074,0.4489795918367347,0.4074074074074074
