genre,precision,recall,f1,accuracy
blues,0.8888888888888888,0.2857142857142857,0.43243243243243246,0.2857142857142857
classical,0.95,0.7037037037037037,0.8085106382978723,0.7037037037037037
country,0.5833333333333334,0.2916666666666667,0.3888888888888889,0.2916666666666667
disco,0.72,0.6666666666666666,0.6923076923076923,0.6666666666666666
hiphop,0.46296296296296297,0.8928571428571429,0.6097560975609756,0.8928571428571429
jazz,1.0,0.5925925925925926,0.7441860465116279,0.5925925925925926
metal,0.6764705882352942,0.8846153846153846,0.7666666666666667,0.8846153846153846
pop,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
reggae,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.5384615384615384
rock,0.25,0.48148148148148145,0.3291139240506329,0.48148148148148145
