genre,precision,recall,f1,accuracy
blues,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.6071428571428571
classical,0.9523809523809523,0.7407407407407407,0.8333333333333334,0.7407407407407407
country,0.53125,0.7083333333333334,0.6071428571428571,0.7083333333333334
disco,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
hiphop,0.8235294117647058,0.5,0.6222222222222222,0.5
jazz,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.9259259259259259
metal,0.7727272727272727,0.6538461538461539,0.7083333333333334,0.6538461538461539
pop,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8461538461538461
reggae,0.625,0.7692307692307693,0.6896551724137931,0.7692307692307693
rock,0.19230769230769232,0.18518518518518517,0.18867924528301888,0.18518518518518517
