genre,precision,recall,f1,accuracy
blues,0.6666666666666666,0.9285714285714286,0.7761194029850746,0.9285714285714286
classical,0.9310344827586207,1.0,0.9642857142857143,1.0
country,0.9285714285714286,0.5416666666666666,0.6842105263157895,0.5416666666666666
disco,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148
hiphop,0.75,0.6428571428571429,0.6923076923076923,0.6428571428571429
jazz,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9259259259259259
metal,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.8846153846153846
pop,0.9130434782608695,0.8076923076923077,0.8571428571428571,0.8076923076923077
reggae,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.7307692307692307
rock,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
