feature_idx,abs_weight,posterior_var,norm_importance
146,0.86910874,0.06929655,1.0
145,0.78373396,0.079192065,0.90176743
108,0.72686875,0.073642656,0.8363381
102,0.72252536,0.064908706,0.83134055
36,0.6841235,0.07888362,0.7871553
186,0.6532807,0.09073027,0.7516674
195,0.6064437,0.08168716,0.69777656
2,0.59518576,0.08070066,0.6848231
80,0.587034,0.07461283,0.67544365
236,0.5763772,0.075307384,0.66318196
78,0.57599705,0.07756771,0.6627445
74,0.5643895,0.10224977,0.64938885
46,0.5566288,0.08281023,0.64045936
55,0.5510192,0.087398306,0.6340049
117,0.54570657,0.08184111,0.6278922
134,0.5451252,0.07979758,0.62722325
84,0.53721774,0.07713765,0.6181249
253,0.53429854,0.08541057,0.61476606
65,0.5252746,0.07662307,0.60438305
239,0.5204331,0.08183547,0.59881246
128,0.5124892,0.09013249,0.58967215
72,0.50353724,0.089461125,0.579372
230,0.49948105,0.091339886,0.5747049
8,0.49579746,0.0916146,0.5704665
66,0.48960805,0.08097931,0.563345
