genre,precision,recall,f1,accuracy
blues,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858
classical,0.4166666666666667,0.37037037037037035,0.39215686274509803,0.37037037037037035
country,0.3939393939393939,0.5416666666666666,0.45614035087719296,0.5416666666666666
disco,0.4117647058823529,0.5185185185185185,0.45901639344262296,0.5185185185185185
hiphop,0.125,0.07142857142857142,0.09090909090909091,0.07142857142857142
jazz,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7777777777777778
metal,0.5454545454545454,0.46153846153846156,0.5,0.46153846153846156
pop,0.6666666666666666,0.38461538461538464,0.4878048780487805,0.38461538461538464
reggae,0.6,0.6923076923076923,0.6428571428571429,0.6923076923076923
rock,0.21428571428571427,0.2222222222222222,0.21818181818181817,0.2222222222222222
