genre,precision,recall,f1,accuracy
blues,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
classical,1.0,0.7037037037037037,0.8260869565217391,0.7037037037037037
country,0.7037037037037037,0.7916666666666666,0.7450980392156863,0.7916666666666666
disco,0.6285714285714286,0.8148148148148148,0.7096774193548387,0.8148148148148148
hiphop,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.6071428571428571
jazz,0.65,0.9629629629629629,0.7761194029850746,0.9629629629629629
metal,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.7307692307692307
pop,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
reggae,0.5757575757575758,0.7307692307692307,0.6440677966101694,0.7307692307692307
rock,0.7692307692307693,0.37037037037037035,0.5,0.37037037037037035
