feature_idx,abs_weight,posterior_var,norm_importance
103,0.29037398,0.012412861,1.0
53,0.2828389,0.013351261,0.97405046
226,0.27773598,0.014983325,0.9564768
174,0.25001824,0.014854316,0.8610215
42,0.22617081,0.012742609,0.7788949
354,0.22551465,0.011981949,0.77663517
24,0.22194065,0.01375573,0.76432693
45,0.22157519,0.010046831,0.7630683
109,0.21988308,0.011657521,0.757241
140,0.21506606,0.013753371,0.74065197
38,0.21439417,0.011226698,0.73833805
357,0.20952645,0.010868751,0.7215745
128,0.19158082,0.00954822,0.6597727
133,0.188916,0.014804546,0.6505955
148,0.18523353,0.015349585,0.6379137
265,0.184486,0.009573228,0.6353393
102,0.18416397,0.010961862,0.63423026
275,0.18150538,0.01487228,0.62507457
310,0.1803381,0.010735773,0.6210546
81,0.17958564,0.01466502,0.6184633
347,0.1784832,0.012845473,0.61466664
248,0.17544986,0.00975424,0.60422033
296,0.16820595,0.011813868,0.57927346
32,0.16571353,0.013750577,0.57069004
119,0.16536754,0.008974543,0.5694985
