feature_idx,abs_weight,posterior_var,norm_importance
28,0.89611,0.06639673,1.0
112,0.8387058,0.06434434,0.9359407
172,0.7783747,0.06458533,0.8686151
235,0.72607654,0.057701793,0.8102538
24,0.7182271,0.0629766,0.80149436
165,0.6950409,0.06781783,0.77562004
201,0.6946737,0.0690099,0.7752103
136,0.6602176,0.06153676,0.73675954
197,0.64056,0.06810593,0.71482295
89,0.63296807,0.06300823,0.70635086
107,0.60886264,0.062297635,0.6794508
200,0.5830396,0.05891916,0.65063393
188,0.5740054,0.0671384,0.6405524
75,0.573553,0.055577043,0.64004755
254,0.56928384,0.06274758,0.63528347
11,0.5461876,0.06844671,0.6095095
93,0.5396492,0.058481134,0.6022131
96,0.5305664,0.056633748,0.5920773
3,0.5271686,0.05683037,0.58828557
229,0.5131213,0.062374834,0.5726097
54,0.50291216,0.06227742,0.561217
91,0.48978525,0.06203752,0.5465682
241,0.47205058,0.063751616,0.5267775
20,0.4671531,0.0663019,0.52131224
175,0.46540904,0.054413658,0.51936597
