feature_idx,abs_weight,posterior_var,norm_importance
335,0.31849626,0.018274749,1.0
506,0.29016012,0.019505875,0.9110315
74,0.2749855,0.019470949,0.86338687
33,0.26620266,0.011519955,0.83581096
474,0.26449743,0.0121615715,0.830457
373,0.2632964,0.016849902,0.826686
339,0.2602519,0.019816495,0.81712705
41,0.25934228,0.016426718,0.81427103
141,0.25461313,0.018087571,0.7994227
469,0.24537686,0.016262492,0.77042305
494,0.24468401,0.015757473,0.76824766
0,0.2438744,0.015283117,0.7657057
238,0.22948633,0.021738077,0.7205307
372,0.2257793,0.015322307,0.7088915
42,0.22497368,0.01641376,0.70636207
357,0.21787715,0.016341386,0.6840807
310,0.21740307,0.01454239,0.6825922
318,0.21532081,0.018293802,0.6760544
39,0.212524,0.015253705,0.66727316
395,0.21112464,0.019734696,0.6628795
343,0.20739831,0.016804585,0.65117973
311,0.20578477,0.017197015,0.64611363
142,0.2040657,0.017938487,0.64071614
397,0.20274848,0.016707761,0.6365804
280,0.201859,0.013882656,0.63378763
