genre,precision,recall,f1,accuracy
blues,0.8,0.7142857142857143,0.7547169811320755,0.7142857142857143
classical,0.8709677419354839,1.0,0.9310344827586207,1.0
country,0.7391304347826086,0.7083333333333334,0.723404255319149,0.7083333333333334
disco,0.7,0.7777777777777778,0.7368421052631579,0.7777777777777778
hiphop,0.9375,0.5357142857142857,0.6818181818181818,0.5357142857142857
jazz,0.7222222222222222,0.9629629629629629,0.8253968253968254,0.9629629629629629
metal,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.7692307692307693
pop,0.8,0.7692307692307693,0.7843137254901961,0.7692307692307693
reggae,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.7307692307692307
rock,0.5357142857142857,0.5555555555555556,0.5454545454545454,0.5555555555555556
