feature_idx,abs_weight,posterior_var,norm_importance
81,0.30231205,0.023391988,1.0
194,0.29688644,0.022006638,0.982053
390,0.29468095,0.023675887,0.97475755
410,0.2758783,0.021367004,0.9125614
531,0.26177916,0.013842089,0.8659237
276,0.24784291,0.017243898,0.81982476
142,0.24702865,0.025594622,0.81713134
726,0.24311267,0.01994712,0.8041779
385,0.24035312,0.025676992,0.7950498
150,0.23692748,0.015584207,0.7837183
716,0.22143494,0.023696356,0.7324714
46,0.21974504,0.017584458,0.7268815
727,0.2184735,0.02025789,0.72267544
765,0.21216175,0.010825267,0.7017972
574,0.20874152,0.01977058,0.6904836
438,0.20774578,0.01761333,0.6871899
229,0.20678963,0.025687955,0.6840271
309,0.20456128,0.020188667,0.67665607
759,0.20048718,0.019551883,0.6631796
312,0.20008014,0.022352073,0.66183317
596,0.20005052,0.023820821,0.6617352
424,0.1991672,0.024648001,0.65881336
129,0.1978237,0.02248319,0.65436924
422,0.19711654,0.023413837,0.65203005
78,0.19676267,0.021637168,0.6508595
