genre,precision,recall,f1,accuracy
blues,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.8571428571428571
classical,0.9310344827586207,1.0,0.9642857142857143,1.0
country,0.7142857142857143,0.625,0.6666666666666666,0.625
disco,0.7142857142857143,0.5555555555555556,0.625,0.5555555555555556
hiphop,0.8095238095238095,0.6071428571428571,0.6938775510204082,0.6071428571428571
jazz,1.0,0.8148148148148148,0.8979591836734694,0.8148148148148148
metal,0.8,0.9230769230769231,0.8571428571428571,0.9230769230769231
pop,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.8461538461538461
reggae,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.6153846153846154
rock,0.46511627906976744,0.7407407407407407,0.5714285714285714,0.7407407407407407
