feature_idx,abs_weight,posterior_var,norm_importance
145,1.1544155,0.17239688,1.0
412,1.0205169,0.18977477,0.88401175
42,1.0060802,0.16508032,0.8715061
5,0.9992387,0.14950287,0.8655798
97,0.95958245,0.20418245,0.83122796
121,0.94685453,0.196196,0.8202025
6,0.9420194,0.15208504,0.8160142
177,0.91354144,0.16614795,0.7913454
410,0.91086906,0.21855828,0.78903055
335,0.8761088,0.23744267,0.75891984
487,0.8629995,0.16191235,0.747564
36,0.8586528,0.15457284,0.74379873
290,0.8490437,0.17221111,0.735475
353,0.82555157,0.17883345,0.71512514
385,0.813393,0.17956933,0.70459294
433,0.772853,0.18724191,0.6694756
230,0.769105,0.20519347,0.66622895
71,0.7663702,0.15772174,0.6638599
438,0.7567557,0.17536704,0.65553147
374,0.75492376,0.17076664,0.6539446
39,0.74999607,0.16806825,0.649676
277,0.74086684,0.17189734,0.6417679
490,0.734737,0.16996698,0.636458
79,0.7347213,0.16029385,0.63644445
333,0.7312196,0.16518393,0.6334111
