feature_idx,abs_weight,posterior_var,norm_importance
192,0.77031773,0.113544405,1.0
234,0.7609544,0.115542166,0.9878448
369,0.7082657,0.10356981,0.91944623
574,0.68491876,0.10693058,0.889138
606,0.66727984,0.1051589,0.8662397
407,0.6573544,0.10911918,0.85335493
26,0.6366926,0.12350692,0.8265324
201,0.6168449,0.10687762,0.8007668
265,0.58838344,0.11971775,0.76381916
120,0.5868902,0.10436038,0.7618807
567,0.54938614,0.09527649,0.7131942
193,0.5440841,0.09600461,0.7063112
451,0.53275156,0.104367405,0.6915998
208,0.53173465,0.1078739,0.69027966
633,0.5233158,0.11425495,0.67935055
380,0.51986235,0.115267165,0.67486745
103,0.51941633,0.092185505,0.67428845
623,0.5181593,0.10800538,0.67265654
254,0.49772084,0.10929859,0.64612406
477,0.49345586,0.11158168,0.64058745
169,0.49166515,0.11330354,0.6382628
631,0.48779306,0.115803964,0.63323617
453,0.46792594,0.11309417,0.60744536
389,0.46720135,0.09389024,0.60650474
629,0.46470812,0.10020406,0.6032681
