genre,precision,recall,f1,accuracy
blues,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8214285714285714
classical,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9259259259259259
country,0.64,0.6666666666666666,0.6530612244897959,0.6666666666666666
disco,0.6,0.4444444444444444,0.5106382978723404,0.4444444444444444
hiphop,0.9333333333333333,0.5,0.6511627906976745,0.5
jazz,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9629629629629629
metal,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
pop,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8461538461538461
reggae,0.6666666666666666,0.6153846153846154,0.64,0.6153846153846154
rock,0.475,0.7037037037037037,0.5671641791044776,0.7037037037037037
