genre,precision,recall,f1,accuracy
blues,0.8,0.42857142857142855,0.5581395348837209,0.42857142857142855
classical,0.8181818181818182,1.0,0.9,1.0
country,0.45714285714285713,0.6666666666666666,0.5423728813559322,0.6666666666666666
disco,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6666666666666666
hiphop,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7142857142857143
jazz,0.9411764705882353,0.5925925925925926,0.7272727272727273,0.5925925925925926
metal,0.6363636363636364,0.8076923076923077,0.711864406779661,0.8076923076923077
pop,0.75,0.5769230769230769,0.6521739130434783,0.5769230769230769
reggae,0.7368421052631579,0.5384615384615384,0.6222222222222222,0.5384615384615384
rock,0.36363636363636365,0.2962962962962963,0.32653061224489793,0.2962962962962963
