feature_idx,abs_weight,posterior_var,norm_importance
69,0.4667968,0.041371513,1.0
134,0.40456435,0.03696152,0.86668193
141,0.40421113,0.037125565,0.86592525
310,0.38216913,0.045658525,0.81870556
166,0.37400413,0.042683408,0.80121404
362,0.37222824,0.04200963,0.7974096
66,0.36563572,0.039749194,0.7832867
370,0.35381734,0.035570465,0.75796866
262,0.35058698,0.038741015,0.7510484
309,0.34548396,0.041340683,0.7401164
150,0.34406,0.043022424,0.7370659
321,0.33474308,0.041301638,0.71710664
172,0.3237466,0.038339235,0.69354934
161,0.3163304,0.038393293,0.6776619
330,0.312103,0.04954325,0.66860574
27,0.30830914,0.039524395,0.6604783
168,0.30546734,0.040997382,0.6543904
123,0.30435994,0.042694088,0.6520181
338,0.29322648,0.034057878,0.62816733
160,0.29063666,0.04019013,0.6226192
206,0.2905032,0.044854194,0.62233335
32,0.28540373,0.0408157,0.61140895
37,0.28491262,0.0416441,0.61035687
24,0.2816004,0.04189929,0.6032612
81,0.28014758,0.03834315,0.6001489
