genre,precision,recall,f1,accuracy
blues,0.85,0.6071428571428571,0.7083333333333334,0.6071428571428571
classical,0.9,1.0,0.9473684210526315,1.0
country,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.5833333333333334
disco,0.5714285714285714,0.7407407407407407,0.6451612903225806,0.7407407407407407
hiphop,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.5357142857142857
jazz,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9259259259259259
metal,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
pop,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
reggae,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.6153846153846154
rock,0.4186046511627907,0.6666666666666666,0.5142857142857142,0.6666666666666666
