genre,precision,recall,f1,accuracy
blues,0.40298507462686567,0.9642857142857143,0.5684210526315789,0.9642857142857143
classical,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9629629629629629
country,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.3333333333333333
disco,1.0,0.1111111111111111,0.2,0.1111111111111111
hiphop,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
jazz,0.6666666666666666,0.9629629629629629,0.7878787878787878,0.9629629629629629
metal,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.7692307692307693
pop,0.625,0.7692307692307693,0.6896551724137931,0.7692307692307693
reggae,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.6153846153846154
rock,0.7142857142857143,0.18518518518518517,0.29411764705882354,0.18518518518518517
