feature_idx,abs_weight,posterior_var,norm_importance
286,0.35192186,0.02612439,1.0
156,0.33948278,0.023708038,0.9646539
138,0.3251625,0.023032911,0.92396224
191,0.30456224,0.023712885,0.86542577
180,0.3041201,0.02519307,0.86416936
329,0.2972839,0.02406862,0.844744
322,0.29491606,0.022317959,0.83801574
345,0.2872652,0.024502082,0.81627554
3,0.28323993,0.026856616,0.8048376
14,0.27378497,0.024697786,0.7779709
342,0.27323273,0.026485318,0.7764017
356,0.2698221,0.02362268,0.7667102
190,0.25072116,0.02235918,0.7124342
7,0.24892786,0.020747066,0.70733845
47,0.2465998,0.022872895,0.7007232
327,0.2440366,0.02404845,0.6934397
215,0.24323885,0.02899746,0.6911729
274,0.2426009,0.026302624,0.68936014
247,0.23477453,0.0272668,0.6671212
34,0.22851704,0.021897933,0.6493403
174,0.2284826,0.026348649,0.64924246
30,0.22822084,0.028232766,0.6484986
87,0.22796872,0.022811979,0.6477822
183,0.22764224,0.020662151,0.6468545
105,0.22576177,0.02322838,0.6415111
