genre,precision,recall,f1,accuracy
blues,0.8181818181818182,0.6428571428571429,0.72,0.6428571428571429
classical,0.8709677419354839,1.0,0.9310344827586207,1.0
country,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.7083333333333334
disco,0.4230769230769231,0.4074074074074074,0.41509433962264153,0.4074074074074074
hiphop,0.5909090909090909,0.4642857142857143,0.52,0.4642857142857143
jazz,1.0,0.48148148148148145,0.65,0.48148148148148145
metal,0.72,0.6923076923076923,0.7058823529411765,0.6923076923076923
pop,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.6538461538461539
reggae,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.38461538461538464
rock,0.3559322033898305,0.7777777777777778,0.4883720930232558,0.7777777777777778
