genre,precision,recall,f1,accuracy
blues,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7857142857142857
classical,0.7647058823529411,0.9629629629629629,0.8524590163934426,0.9629629629629629
country,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.6666666666666666
disco,0.6875,0.4074074074074074,0.5116279069767442,0.4074074074074074
hiphop,0.8235294117647058,0.5,0.6222222222222222,0.5
jazz,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148
metal,0.8,0.9230769230769231,0.8571428571428571,0.9230769230769231
pop,0.6875,0.8461538461538461,0.7586206896551724,0.8461538461538461
reggae,0.6190476190476191,0.5,0.5531914893617021,0.5
rock,0.4,0.5925925925925926,0.47761194029850745,0.5925925925925926
