feature_idx,abs_weight,posterior_var,norm_importance
14,0.33761412,0.01932661,1.0
113,0.3365848,0.020631926,0.9969512
460,0.316976,0.01977532,0.9388707
174,0.304872,0.01621678,0.90301913
90,0.29922327,0.019167908,0.8862878
0,0.29122835,0.017791886,0.8626072
346,0.28520587,0.016582761,0.84476876
239,0.27852464,0.020813728,0.82497925
97,0.26822504,0.014141703,0.7944722
358,0.26635054,0.017404526,0.78892004
119,0.25938013,0.016366744,0.76827395
178,0.25873116,0.016140047,0.7663517
78,0.25416085,0.018622134,0.75281465
138,0.24960652,0.019442437,0.73932487
298,0.24268119,0.020004837,0.71881235
464,0.23947114,0.025037326,0.7093043
337,0.23667696,0.018841967,0.70102805
372,0.23253837,0.018075658,0.6887697
184,0.23045391,0.023093708,0.6825956
46,0.22924162,0.020221658,0.67900485
283,0.22663647,0.017178683,0.6712885
6,0.22150965,0.023447866,0.656103
395,0.2210938,0.019012328,0.65487134
167,0.22069116,0.018042877,0.6536787
100,0.22048515,0.016807418,0.65306854
