genre,precision,recall,f1,accuracy
blues,0.84,0.75,0.7924528301886793,0.75
classical,0.6842105263157895,0.9629629629629629,0.8,0.9629629629629629
country,0.6666666666666666,0.75,0.7058823529411765,0.75
disco,0.5,0.8148148148148148,0.6197183098591549,0.8148148148148148
hiphop,0.8666666666666667,0.4642857142857143,0.6046511627906976,0.4642857142857143
jazz,1.0,0.5185185185185185,0.6829268292682927,0.5185185185185185
metal,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
pop,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.7307692307692307
reggae,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
rock,0.5172413793103449,0.5555555555555556,0.5357142857142857,0.5555555555555556
