genre,precision,recall,f1,accuracy
blues,0.7575757575757576,0.8928571428571429,0.819672131147541,0.8928571428571429
classical,0.9565217391304348,0.8148148148148148,0.88,0.8148148148148148
country,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6666666666666666
disco,0.6363636363636364,0.5185185185185185,0.5714285714285714,0.5185185185185185
hiphop,0.5135135135135135,0.6785714285714286,0.5846153846153846,0.6785714285714286
jazz,0.7352941176470589,0.9259259259259259,0.819672131147541,0.9259259259259259
metal,0.7,0.8076923076923077,0.75,0.8076923076923077
pop,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8461538461538461
reggae,0.6111111111111112,0.4230769230769231,0.5,0.4230769230769231
rock,0.5882352941176471,0.37037037037037035,0.45454545454545453,0.37037037037037035
