genre,precision,recall,f1,accuracy
blues,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.8928571428571429
classical,0.96,0.8888888888888888,0.9230769230769231,0.8888888888888888
country,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.6666666666666666
disco,0.75,0.6666666666666666,0.7058823529411765,0.6666666666666666
hiphop,0.625,0.7142857142857143,0.6666666666666666,0.7142857142857143
jazz,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9629629629629629
metal,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
pop,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
reggae,0.7083333333333334,0.6538461538461539,0.68,0.6538461538461539
rock,0.5,0.6296296296296297,0.5573770491803278,0.6296296296296297
