feature_idx,abs_weight,posterior_var,norm_importance
85,0.4634782,0.036302045,1.0
72,0.45496428,0.033457447,0.9816304
206,0.4469267,0.037163936,0.96428853
217,0.4189909,0.023420634,0.9040143
202,0.41784254,0.039203726,0.9015365
185,0.4144124,0.04008983,0.8941357
118,0.40277866,0.03133021,0.8690347
117,0.3937516,0.023935633,0.84955794
18,0.38676786,0.03452938,0.8344899
90,0.3788721,0.03101764,0.817454
225,0.37129232,0.022409756,0.80109984
24,0.3655674,0.031816076,0.7887477
159,0.36126918,0.036866255,0.7794739
168,0.3517669,0.03427458,0.75897187
35,0.33807486,0.048114497,0.7294299
250,0.32978043,0.023120666,0.71153384
215,0.32814795,0.02403094,0.7080116
119,0.32757753,0.025292804,0.70678085
200,0.3178483,0.04111054,0.6857891
178,0.307525,0.031060632,0.66351557
223,0.30678323,0.031889398,0.6619151
56,0.30470556,0.031524144,0.6574323
240,0.2916246,0.027486406,0.62920886
113,0.28072172,0.036716983,0.6056848
28,0.27457866,0.027011346,0.5924306
