feature_idx,abs_weight,posterior_var,norm_importance
68,0.7175222,0.03309737,1.0
190,0.50055844,0.03053611,0.6976208
203,0.41997316,0.024305742,0.58531034
129,0.40847558,0.0269402,0.56928635
197,0.4046324,0.02599541,0.56393015
54,0.3980254,0.03322688,0.5547221
107,0.39436468,0.02752508,0.5496202
206,0.39099178,0.029029356,0.54491943
125,0.38554892,0.025291584,0.5373338
225,0.3733981,0.030348614,0.52039933
192,0.359144,0.03657713,0.50053364
142,0.3565334,0.033551354,0.49689528
171,0.34991914,0.026397092,0.4876771
194,0.34382346,0.03653824,0.47918165
159,0.34368643,0.027363118,0.47899064
58,0.33956632,0.022612642,0.4732485
55,0.3373884,0.028307237,0.47021317
10,0.3344608,0.024917614,0.46613303
170,0.32667527,0.03426063,0.45528245
242,0.32577655,0.023394492,0.45402992
241,0.32235467,0.023491332,0.4492609
112,0.32201418,0.026723156,0.44878638
163,0.31988963,0.037472814,0.44582543
173,0.31520823,0.02590671,0.439301
25,0.30822006,0.029333936,0.4295617
