genre,precision,recall,f1,accuracy
blues,0.9444444444444444,0.6071428571428571,0.7391304347826086,0.6071428571428571
classical,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8888888888888888
country,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6666666666666666
disco,0.5294117647058824,0.6666666666666666,0.5901639344262295,0.6666666666666666
hiphop,0.5862068965517241,0.6071428571428571,0.5964912280701754,0.6071428571428571
jazz,0.7741935483870968,0.8888888888888888,0.8275862068965517,0.8888888888888888
metal,0.7586206896551724,0.8461538461538461,0.8,0.8461538461538461
pop,0.6875,0.8461538461538461,0.7586206896551724,0.8461538461538461
reggae,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.46153846153846156
rock,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
