genre,precision,recall,f1,accuracy
blues,0.7272727272727273,0.5714285714285714,0.64,0.5714285714285714
classical,0.6923076923076923,1.0,0.8181818181818182,1.0
country,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.3333333333333333
disco,0.6428571428571429,0.3333333333333333,0.43902439024390244,0.3333333333333333
hiphop,0.7037037037037037,0.6785714285714286,0.6909090909090909,0.6785714285714286
jazz,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8888888888888888
metal,0.5581395348837209,0.9230769230769231,0.6956521739130435,0.9230769230769231
pop,0.7,0.8076923076923077,0.75,0.8076923076923077
reggae,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.38461538461538464
rock,0.38095238095238093,0.5925925925925926,0.463768115942029,0.5925925925925926
