genre,precision,recall,f1,accuracy
blues,0.0,0.0,0.0,0.0
classical,0.0,0.0,0.0,0.0
country,0.20454545454545456,0.375,0.2647058823529412,0.375
disco,0.0,0.0,0.0,0.0
hiphop,0.0,0.0,0.0,0.0
jazz,0.0,0.0,0.0,0.0
metal,0.16666666666666666,0.11538461538461539,0.13636363636363635,0.11538461538461539
pop,0.3333333333333333,0.3076923076923077,0.32,0.3076923076923077
reggae,0.04878048780487805,0.07692307692307693,0.05970149253731343,0.07692307692307693
rock,0.25806451612903225,0.2962962962962963,0.27586206896551724,0.2962962962962963
