genre,precision,recall,f1,accuracy
blues,0.72,0.6428571428571429,0.6792452830188679,0.6428571428571429
classical,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
country,0.6060606060606061,0.8333333333333334,0.7017543859649122,0.8333333333333334
disco,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
hiphop,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.5357142857142857
jazz,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8888888888888888
metal,0.6857142857142857,0.9230769230769231,0.7868852459016393,0.9230769230769231
pop,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
reggae,0.6785714285714286,0.7307692307692307,0.7037037037037037,0.7307692307692307
rock,0.5238095238095238,0.4074074074074074,0.4583333333333333,0.4074074074074074
