feature_idx,abs_weight,posterior_var,norm_importance
377,0.9273631,0.14941275,1.0
120,0.8291122,0.16422954,0.89405346
75,0.7653349,0.1507178,0.8252807
169,0.76037955,0.14718074,0.8199372
230,0.74836946,0.13951594,0.80698645
84,0.7225129,0.1454842,0.77910465
360,0.68162555,0.14676109,0.73501474
214,0.6742988,0.159075,0.72711414
291,0.6711659,0.1600943,0.7237358
48,0.6627259,0.14215986,0.7146348
144,0.62890667,0.15275273,0.67816657
327,0.6242863,0.14910296,0.67318434
241,0.6182067,0.16578816,0.66662854
94,0.6126947,0.15362056,0.66068476
282,0.59685355,0.13807222,0.64360285
194,0.5945506,0.1488701,0.64111954
272,0.59167415,0.16253138,0.6380178
92,0.5908344,0.14124921,0.63711226
41,0.58921623,0.15604427,0.63536733
78,0.58726686,0.14673512,0.6332653
274,0.5869665,0.15645514,0.6329414
122,0.5858863,0.1756841,0.6317766
170,0.57106066,0.14920408,0.6157897
191,0.5539183,0.14497218,0.59730464
55,0.5497085,0.1635435,0.5927651
