feature_idx,abs_weight,posterior_var,norm_importance
134,0.3299671,0.009126645,1.0
222,0.2683564,0.012659907,0.8132823
202,0.25923142,0.0058116303,0.785628
83,0.242508,0.009925596,0.73494595
7,0.239886,0.0088181775,0.7269997
210,0.22836499,0.00956785,0.6920841
141,0.2115551,0.010338543,0.6411399
121,0.21032242,0.008794133,0.6374042
22,0.19510818,0.008095524,0.59129584
45,0.19419847,0.005736628,0.5885389
24,0.1916521,0.008147928,0.5808218
62,0.18237172,0.009507193,0.55269665
19,0.18192612,0.007842046,0.5513462
191,0.1718319,0.006178186,0.52075464
225,0.16749634,0.010056439,0.50761527
176,0.16627736,0.011089983,0.50392103
206,0.16480236,0.011485473,0.49945086
142,0.16399866,0.010853994,0.49701518
161,0.16394453,0.009936006,0.49685112
76,0.16221334,0.005259574,0.49160457
160,0.16096471,0.005789976,0.48782048
184,0.15817297,0.008478109,0.47935978
87,0.15333256,0.0064511057,0.46469045
116,0.15329403,0.0081319045,0.46457365
44,0.15274166,0.007122966,0.46289963
