genre,precision,recall,f1,accuracy
blues,0.8,0.8571428571428571,0.8275862068965517,0.8571428571428571
classical,0.92,0.8518518518518519,0.8846153846153846,0.8518518518518519
country,0.7727272727272727,0.7083333333333334,0.7391304347826086,0.7083333333333334
disco,0.5625,0.6666666666666666,0.6101694915254238,0.6666666666666666
hiphop,0.875,0.5,0.6363636363636364,0.5
jazz,0.7666666666666667,0.8518518518518519,0.8070175438596491,0.8518518518518519
metal,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.8076923076923077
pop,0.75,0.8076923076923077,0.7777777777777778,0.8076923076923077
reggae,0.5625,0.6923076923076923,0.6206896551724138,0.6923076923076923
rock,0.5416666666666666,0.48148148148148145,0.5098039215686274,0.48148148148148145
