genre,precision,recall,f1,accuracy
blues,0.65625,0.75,0.7,0.75
classical,0.92,0.8518518518518519,0.8846153846153846,0.8518518518518519
country,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5833333333333334
disco,0.6521739130434783,0.5555555555555556,0.6,0.5555555555555556
hiphop,0.5806451612903226,0.6428571428571429,0.6101694915254238,0.6428571428571429
jazz,0.75,0.7777777777777778,0.7636363636363637,0.7777777777777778
metal,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.8461538461538461
pop,0.7,0.5384615384615384,0.6086956521739131,0.5384615384615384
reggae,0.5185185185185185,0.5384615384615384,0.5283018867924528,0.5384615384615384
rock,0.3870967741935484,0.4444444444444444,0.41379310344827586,0.4444444444444444
